('1', 835)
('2', 20.899999618530273)
('3', 69.43999862670898)
('4', 24.700000762939453)
('1', 836)
('2', 21.0)
('3', 70.16000137329101)
('4', 24.5)
('1', 836)
('2', 20.899999618530273)
('3', 69.8)
('4', 24.5)
('1', 836)
('2', 21.0)
('3', 69.8)
('4', 24.399999618530273)
('1', 835)
('2', 21.100000381469727)
('3', 70.16000137329101)
('4', 24.299999237060547)
('1', 836)
('2', 21.200000762939453)
('3', 70.33999862670899)
('4', 24.299999237060547)
('1', 836)
('2', 21.200000762939453)
('3', 70.16000137329101)
('4', 24.299999237060547)
('1', 837)
('2', 21.100000381469727)
('3', 70.16000137329101)
('4', 24.299999237060547)
('1', 837)
('2', 21.200000762939453)
('3', 70.33999862670899)
('4', 24.200000762939453)
('1', 837)
('2', 21.299999237060547)
('3', 70.51999931335449)
('4', 24.200000762939453)
('1', 836)
('2', 21.299999237060547)
('3', 70.51999931335449)
('4', 24.100000381469727)
('1', 837)
('2', 21.5)
('3', 70.51999931335449)
('4', 24.100000381469727)
('1', 836)
('2', 21.299999237060547)
('3', 70.51999931335449)
('4', 24.100000381469727)
('1', 839)
('2', 21.399999618530273)
('3', 70.7)
('4', 24.100000381469727)
('1', 838)
('2', 21.5)
('3', 70.51999931335449)
('4', 24.100000381469727)
('1', 836)
('2', 21.299999237060547)
('3', 70.33999862670899)
('4', 24.100000381469727)
('1', 832)
('2', 21.399999618530273)
('3', 70.51999931335449)
('4', 24.100000381469727)
('1', 836)
('2', 21.399999618530273)
('3', 70.51999931335449)
('4', 24.100000381469727)
('1', 839)
('2', 21.299999237060547)
('3', 70.51999931335449)
('4', 24.100000381469727)
('1', 839)
('2', 21.399999618530273)
('3', 70.7)
('4', 24.100000381469727)
('1', 839)
('2', 21.399999618530273)
('3', 70.51999931335449)
('4', 24.100000381469727)
('1', 837)
('2', 21.600000381469727)
('3', 70.51999931335449)
('4', 24.100000381469727)
('1', 817)
('2', 21.399999618530273)
