Reading MCP3008 values, press Ctrl-C to quit...
|    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |
---------------------------------------------------------
|  182 |   47 |  270 |   52 |   73 |   81 |   96 |  124 |
|   81 |   26 |  243 |   27 |   27 |   28 |   34 |   53 |
|   36 |   10 |  257 |    9 |   12 |   10 |   13 |   22 |
|   14 |    3 |  264 |    5 |    4 |    3 |    4 |    6 |
|    2 |    1 |  271 |    0 |    1 |    0 |    0 |    0 |
|    0 |    0 |  270 |    1 |    0 |    0 |    0 |    0 |
|    9 |    3 |  274 |    4 |    3 |    3 |    2 |    5 |
|   28 |   14 |  276 |   14 |   18 |   22 |   30 |   52 |
|   93 |   37 |  250 |   42 |   46 |   53 |   69 |  114 |
|  141 |   53 |  281 |   53 |   57 |   64 |   82 |  134 |
|  185 |   66 |  275 |   68 |   71 |   81 |  104 |  170 |
|  196 |   69 |  275 |   73 |   76 |   86 |  110 |  179 |
|  192 |   69 |  276 |   72 |   76 |   84 |  108 |  175 |
|  157 |   51 |  245 |   50 |   50 |   54 |   65 |  102 |
|  512 |  493 | 1023 |  619 |  597 |  592 |  588 |  519 |
|  560 |  671 | 1023 |  776 |  765 |  760 |  759 |  686 |
|  559 |  685 | 1023 |  796 |  787 |  785 |  780 |  735 |
|  655 |  790 | 1023 |  882 |  886 |  880 |  877 |  859 |
| 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
|  934 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
| 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
| 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
| 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
| 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
| 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
| 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
| 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
| 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
| 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
| 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
| 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
| 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
| 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 | 1023 |
|  737 |  785 | 1023 |  831 |  827 |  825 |  826 |  830 |
|  759 |  743 | 1023 |  783 |  761 |  762 |  766 |  758 |
|  761 |  736 | 1023 |  770 |  745 |  747 |  749 |  740 |
|  750 |  723 | 1023 |  760 |  739 |  738 |  732 |  731 |
|  705 |  681 | 1023 |  722 |  701 |  692 |  699 |  689 |
